====== GPT-2 Fine-Tuning Log ======

Step	Epoch	Metrics
420	0.28320971004720163	{'loss': 4.0963, 'grad_norm': 7.953394889831543, 'learning_rate': 9.43492919757249e-06, 'epoch': 0.28320971004720163}
430	0.2899527983816588	{'loss': 4.081, 'grad_norm': 7.91804838180542, 'learning_rate': 9.421443020903574e-06, 'epoch': 0.2899527983816588}
440	0.29669588671611596	{'loss': 4.0298, 'grad_norm': 9.823997497558594, 'learning_rate': 9.40795684423466e-06, 'epoch': 0.29669588671611596}
450	0.30343897505057316	{'loss': 3.9602, 'grad_norm': 10.235992431640625, 'learning_rate': 9.394470667565745e-06, 'epoch': 0.30343897505057316}
460	0.31018206338503035	{'loss': 4.0747, 'grad_norm': 7.762756824493408, 'learning_rate': 9.380984490896832e-06, 'epoch': 0.31018206338503035}
470	0.31692515171948754	{'loss': 3.8315, 'grad_norm': 9.671341896057129, 'learning_rate': 9.367498314227918e-06, 'epoch': 0.31692515171948754}
480	0.32366824005394473	{'loss': 3.8442, 'grad_norm': 9.305095672607422, 'learning_rate': 9.354012137559003e-06, 'epoch': 0.32366824005394473}
490	0.33041132838840187	{'loss': 3.8788, 'grad_norm': 8.758713722229004, 'learning_rate': 9.34052596089009e-06, 'epoch': 0.33041132838840187}
500	0.33715441672285906	{'loss': 3.9587, 'grad_norm': 9.175190925598145, 'learning_rate': 9.327039784221174e-06, 'epoch': 0.33715441672285906}
510	0.34389750505731626	{'loss': 3.985, 'grad_norm': 6.991942882537842, 'learning_rate': 9.313553607552259e-06, 'epoch': 0.34389750505731626}
520	0.35064059339177345	{'loss': 3.9393, 'grad_norm': 9.95193099975586, 'learning_rate': 9.300067430883345e-06, 'epoch': 0.35064059339177345}
530	0.35738368172623064	{'loss': 3.8963, 'grad_norm': 10.196287155151367, 'learning_rate': 9.28658125421443e-06, 'epoch': 0.35738368172623064}
540	0.3641267700606878	{'loss': 3.9069, 'grad_norm': 7.374199390411377, 'learning_rate': 9.273095077545516e-06, 'epoch': 0.3641267700606878}
550	0.37086985839514497	{'loss': 3.9007, 'grad_norm': 11.134089469909668, 'learning_rate': 9.259608900876603e-06, 'epoch': 0.37086985839514497}
560	0.37761294672960216	{'loss': 3.7826, 'grad_norm': 10.700392723083496, 'learning_rate': 9.246122724207688e-06, 'epoch': 0.37761294672960216}
570	0.38435603506405935	{'loss': 3.7691, 'grad_norm': 9.537188529968262, 'learning_rate': 9.232636547538774e-06, 'epoch': 0.38435603506405935}
580	0.39109912339851655	{'loss': 3.8052, 'grad_norm': 7.490203857421875, 'learning_rate': 9.219150370869859e-06, 'epoch': 0.39109912339851655}
590	0.3978422117329737	{'loss': 3.5685, 'grad_norm': 8.849691390991211, 'learning_rate': 9.205664194200945e-06, 'epoch': 0.3978422117329737}
600	0.4045853000674309	{'loss': 3.7159, 'grad_norm': 12.429285049438477, 'learning_rate': 9.192178017532032e-06, 'epoch': 0.4045853000674309}
610	0.41132838840188807	{'loss': 3.6526, 'grad_norm': 9.643061637878418, 'learning_rate': 9.178691840863116e-06, 'epoch': 0.41132838840188807}
620	0.41807147673634526	{'loss': 3.7634, 'grad_norm': 8.335641860961914, 'learning_rate': 9.165205664194203e-06, 'epoch': 0.41807147673634526}
630	0.42481456507080245	{'loss': 3.7029, 'grad_norm': 10.267451286315918, 'learning_rate': 9.151719487525288e-06, 'epoch': 0.42481456507080245}
640	0.4315576534052596	{'loss': 3.5763, 'grad_norm': 8.577942848205566, 'learning_rate': 9.138233310856372e-06, 'epoch': 0.4315576534052596}
650	0.4383007417397168	{'loss': 3.6404, 'grad_norm': 10.668411254882812, 'learning_rate': 9.124747134187459e-06, 'epoch': 0.4383007417397168}
660	0.445043830074174	{'loss': 3.4977, 'grad_norm': 12.942181587219238, 'learning_rate': 9.111260957518543e-06, 'epoch': 0.445043830074174}
670	0.45178691840863117	{'loss': 3.6183, 'grad_norm': 8.936999320983887, 'learning_rate': 9.09777478084963e-06, 'epoch': 0.45178691840863117}
680	0.45853000674308836	{'loss': 3.6011, 'grad_norm': 8.526824951171875, 'learning_rate': 9.084288604180715e-06, 'epoch': 0.45853000674308836}
690	0.4652730950775455	{'loss': 3.6268, 'grad_norm': 7.2762579917907715, 'learning_rate': 9.070802427511801e-06, 'epoch': 0.4652730950775455}
700	0.4720161834120027	{'loss': 3.6538, 'grad_norm': 12.94327163696289, 'learning_rate': 9.057316250842888e-06, 'epoch': 0.4720161834120027}
710	0.4787592717464599	{'loss': 3.7448, 'grad_norm': 7.803802013397217, 'learning_rate': 9.043830074173972e-06, 'epoch': 0.4787592717464599}
720	0.4855023600809171	{'loss': 3.479, 'grad_norm': 8.608433723449707, 'learning_rate': 9.030343897505059e-06, 'epoch': 0.4855023600809171}
730	0.49224544841537426	{'loss': 3.6467, 'grad_norm': 8.572046279907227, 'learning_rate': 9.016857720836143e-06, 'epoch': 0.49224544841537426}
740	0.4989885367498314	{'loss': 3.5485, 'grad_norm': 10.925921440124512, 'learning_rate': 9.00337154416723e-06, 'epoch': 0.4989885367498314}
750	0.5057316250842886	{'loss': 3.4644, 'grad_norm': 8.206903457641602, 'learning_rate': 8.989885367498315e-06, 'epoch': 0.5057316250842886}
760	0.5124747134187457	{'loss': 3.5664, 'grad_norm': 8.83069133758545, 'learning_rate': 8.9763991908294e-06, 'epoch': 0.5124747134187457}
770	0.519217801753203	{'loss': 3.6121, 'grad_norm': 10.281401634216309, 'learning_rate': 8.962913014160486e-06, 'epoch': 0.519217801753203}
780	0.5259608900876601	{'loss': 3.7069, 'grad_norm': 9.025575637817383, 'learning_rate': 8.949426837491572e-06, 'epoch': 0.5259608900876601}
790	0.5327039784221174	{'loss': 3.4224, 'grad_norm': 8.515934944152832, 'learning_rate': 8.935940660822657e-06, 'epoch': 0.5327039784221174}
800	0.5394470667565745	{'loss': 3.4422, 'grad_norm': 7.4192423820495605, 'learning_rate': 8.922454484153743e-06, 'epoch': 0.5394470667565745}
810	0.5461901550910316	{'loss': 3.458, 'grad_norm': 10.073237419128418, 'learning_rate': 8.908968307484828e-06, 'epoch': 0.5461901550910316}
820	0.5529332434254889	{'loss': 3.5702, 'grad_norm': 7.952027797698975, 'learning_rate': 8.895482130815915e-06, 'epoch': 0.5529332434254889}
830	0.559676331759946	{'loss': 3.5006, 'grad_norm': 10.407282829284668, 'learning_rate': 8.881995954147001e-06, 'epoch': 0.559676331759946}
840	0.5664194200944033	{'loss': 3.5056, 'grad_norm': 8.403857231140137, 'learning_rate': 8.868509777478086e-06, 'epoch': 0.5664194200944033}
850	0.5731625084288604	{'loss': 3.4423, 'grad_norm': 10.019438743591309, 'learning_rate': 8.855023600809172e-06, 'epoch': 0.5731625084288604}
860	0.5799055967633177	{'loss': 3.4044, 'grad_norm': 8.029746055603027, 'learning_rate': 8.841537424140257e-06, 'epoch': 0.5799055967633177}
870	0.5866486850977748	{'loss': 3.5449, 'grad_norm': 9.913688659667969, 'learning_rate': 8.828051247471343e-06, 'epoch': 0.5866486850977748}
880	0.5933917734322319	{'loss': 3.6059, 'grad_norm': 11.019967079162598, 'learning_rate': 8.814565070802428e-06, 'epoch': 0.5933917734322319}
890	0.6001348617666892	{'loss': 3.398, 'grad_norm': 9.10732650756836, 'learning_rate': 8.801078894133513e-06, 'epoch': 0.6001348617666892}
900	0.6068779501011463	{'loss': 3.3641, 'grad_norm': 8.243966102600098, 'learning_rate': 8.7875927174646e-06, 'epoch': 0.6068779501011463}
910	0.6136210384356036	{'loss': 3.3732, 'grad_norm': 8.281426429748535, 'learning_rate': 8.774106540795684e-06, 'epoch': 0.6136210384356036}
920	0.6203641267700607	{'loss': 3.4396, 'grad_norm': 8.778868675231934, 'learning_rate': 8.76062036412677e-06, 'epoch': 0.6203641267700607}
930	0.6271072151045178	{'loss': 3.2693, 'grad_norm': 9.161700248718262, 'learning_rate': 8.747134187457857e-06, 'epoch': 0.6271072151045178}
940	0.6338503034389751	{'loss': 3.3404, 'grad_norm': 9.1609468460083, 'learning_rate': 8.733648010788942e-06, 'epoch': 0.6338503034389751}
950	0.6405933917734322	{'loss': 3.3486, 'grad_norm': 9.248554229736328, 'learning_rate': 8.720161834120028e-06, 'epoch': 0.6405933917734322}
960	0.6473364801078895	{'loss': 3.2968, 'grad_norm': 8.45574951171875, 'learning_rate': 8.706675657451113e-06, 'epoch': 0.6473364801078895}
970	0.6540795684423466	{'loss': 3.3782, 'grad_norm': 9.802318572998047, 'learning_rate': 8.6931894807822e-06, 'epoch': 0.6540795684423466}
980	0.6608226567768037	{'loss': 3.2487, 'grad_norm': 7.93229341506958, 'learning_rate': 8.679703304113286e-06, 'epoch': 0.6608226567768037}
990	0.667565745111261	{'loss': 3.1673, 'grad_norm': 9.192371368408203, 'learning_rate': 8.66621712744437e-06, 'epoch': 0.667565745111261}
1000	0.6743088334457181	{'loss': 3.4808, 'grad_norm': 8.090437889099121, 'learning_rate': 8.652730950775455e-06, 'epoch': 0.6743088334457181}
1010	0.6810519217801754	{'loss': 3.2314, 'grad_norm': 7.910943031311035, 'learning_rate': 8.639244774106542e-06, 'epoch': 0.6810519217801754}
1020	0.6877950101146325	{'loss': 3.2715, 'grad_norm': 8.183923721313477, 'learning_rate': 8.625758597437626e-06, 'epoch': 0.6877950101146325}
1030	0.6945380984490896	{'loss': 3.2661, 'grad_norm': 8.978435516357422, 'learning_rate': 8.612272420768713e-06, 'epoch': 0.6945380984490896}
1040	0.7012811867835469	{'loss': 3.1196, 'grad_norm': 8.311722755432129, 'learning_rate': 8.598786244099798e-06, 'epoch': 0.7012811867835469}
1050	0.708024275118004	{'loss': 3.1526, 'grad_norm': 9.234393119812012, 'learning_rate': 8.585300067430884e-06, 'epoch': 0.708024275118004}
1060	0.7147673634524613	{'loss': 3.3055, 'grad_norm': 7.27675724029541, 'learning_rate': 8.571813890761969e-06, 'epoch': 0.7147673634524613}
1070	0.7215104517869184	{'loss': 3.3976, 'grad_norm': 7.640455722808838, 'learning_rate': 8.558327714093055e-06, 'epoch': 0.7215104517869184}
1080	0.7282535401213756	{'loss': 3.3788, 'grad_norm': 7.846765518188477, 'learning_rate': 8.544841537424142e-06, 'epoch': 0.7282535401213756}
